ID,is_speedup_func,Symbol,FunctionPC,Function Definition Length,CPU0.call_count,CPU0.self_exec_inst_count
171,0,"_Bfree",0x2e98c",0x24",0,0
172,0,"calloc",0x24f38",0x14",0,0
173,0,"_calloc_r",0x24f4c",0x1bc",0,0
174,0,"_cleanup_r",0x256a0",0xc",0,0
175,0,"_close",0x33270",0x30",0,0
176,0,"_close_r",0x2b310",0x5c",0,0
177,0,"__clzsi2",0x3abb0",0x4c",0,0
178,0,"_conv_stat",0x33508",0xa4",0,0
179,0,"fseek",0x26164",0x18",0,0
180,0,"__divsf3",0x395c4",0x388",0,0
181,0,"__divsi3",0x3aafc",0x84",0,0
182,0,"e113toe.isra.0",0x2c738",0x154",0,0
183,0,"ecmp",0x2bfec",0x14c",0,0
184,0,"ediv",0x2c88c",0x594",0,0
185,0,"eiremain",0x2c5d4",0x164",0,0
186,0,"emdnorm",0x2c138",0x49c",0,0
187,0,"emovi",0x2bf38",0xb4",0,0
188,0,"emovo.constprop.0",0x2bb4c",0xbc",0,0
189,0,"emul",0x2ce20",0x4d0",0,0
190,0,"enormlz",0x2bc08",0x174",0,0
191,0,"__eqsf2",0x3994c",0x74",0,0
192,0,"__eqtf2",0x36250",0xd4",0,0
193,0,"__errno",0x25108",0x8",0,0
194,0,"eshdn1",0x2b9d4",0x54",0,0
195,0,"memset",0x27268",0xdc",0,0
196,0,"_lseek_r",0x2e69c",0x68",0,0
197,0,"m16m",0x2ba7c",0xd0",0,0
198,0,"main",0x100b4",0x74",0,0
199,0,"malloc",0x26924",0xc",0,0
200,0,"__malloc_lock",0x27344",0x4",0,0
201,0,"_malloc_r",0x2693c",0x788",0,0
202,0,"_malloc_trim_r",0x25d20",0x13c",0,0
203,0,"__malloc_unlock",0x27348",0x4",0,0
204,0,"__math_oflow",0x3bfac",0xc",0,0
205,0,"__math_oflowf",0x3c038",0x8",0,0
206,0,"__math_uflow",0x3bfa0",0xc",0,0
207,0,"__math_uflowf",0x3c030",0x8",0,0
208,0,"memchr",0x2e704",0xc4",0,0
209,0,"memcpy",0x270c4",0x1a4",0,0
210,0,"memmove",0x2e7c8",0x11c",0,0
211,0,"_lseek",0x33340",0x40",0,0
212,0,"__modsi3",0x3ab80",0x30",0,0
213,0,"__muldf3",0x35218",0x6bc",0,0
214,0,"__mulsf3",0x39b78",0x364",0,0
215,0,"__mulsi3",0x3aad8",0x24",0,0
216,0,"__multf3",0x365ec",0x142c",0,0
217,0,"_open",0x33380",0x40",0,0
218,0,"_open_r",0x2734c",0x68",0,0
219,0,"posix_memalign",0x333c0",0x34",0,0
220,0,"powf",0x3acbc",0x114",0,0
221,0,"printf",0x273b4",0x4c",0,0
222,0,"puts",0x274d0",0xc",0,0
223,0,"_puts_r",0x27400",0xd0",0,0
224,0,"raise",0x33100",0xc0",0,0
225,0,"_read",0x333f4",0x40",0,0
226,0,"_read_r",0x2e9b0",0x68",0,0
227,0,"__ieee754_powf",0x3b2f4",0xac0",0,0
228,0,"_fseeko_r",0x2617c",0x45c",0,0
229,0,"_fseek_r",0x26160",0x4",0,0
230,0,"_fstat",0x332c4",0x24",0,0
231,0,"_fstat_r",0x265d8",0x64",0,0
232,0,"_fwalk",0x2663c",0xa4",0,0
233,0,"_fwalk_reent",0x266e0",0xb4",0,0
234,0,"__gedf2",0x34ff8",0x110",0,0
235,0,"__gesf2",0x399c0",0xdc",0,0
236,0,"__getf2",0x36324",0x164",0,0
237,0,"_getpid",0x332e8",0x8",0,0
238,0,"_getpid_r",0x33224",0x4",0,0
239,0,"_gettimeofday",0x332f0",0x8",0,0
240,0,"_gettimeofday_r",0x2b914",0x64",0,0
241,0,"__hidden___udivsi3",0x3ab04",0x48",0,0
242,0,"__ieee754_exp",0x3add0",0x524",0,0
243,0,"abort",0x330e8",0x18",0,0
244,0,"__ieee754_sqrtf",0x3bdb4",0x150",0,0
245,0,"_isatty",0x332f8",0x40",0,0
246,0,"_isatty_r",0x2b978",0x5c",0,0
247,0,"_kill",0x33338",0x8",0,0
248,0,"_kill_r",0x331c0",0x64",0,0
249,0,"_ldcheck",0x2e618",0x78",0,0
250,0,"ldexpf",0x27cfc",0x94",0,0
251,0,"_ldtoa_r",0x2d2f0",0x1328",0,0
252,0,"__ledf2",0x35108",0x110",0,0
253,0,"__lesf2",0x39a9c",0xdc",0,0
254,0,"__letf2",0x36488",0x164",0,0
255,0,"lflush",0x27a48",0x1c",0,0
256,0,"__libc_fini_array",0x2b36c",0x5c",0,0
257,0,"_localeconv_r",0x2e690",0xc",0,0
258,0,"__locale_mb_cur_max",0x32c90",0xc",0,0
